n, Time, Factorial
1000,0.000084,0
1000,0.000040,0
1000,0.000025,0
1000,0.000024,0
1000,0.000024,0
1000,0.000023,0
1000,0.000023,0
1000,0.000023,0
1000,0.000024,0
1000,0.000023,0
1000,0.000024,0
1000,0.000023,0
1000,0.000024,0
1000,0.000023,0
1000,0.000024,0
1000,0.000023,0
1000,0.000023,0
1000,0.000023,0
1000,0.000024,0
1000,0.000023,0
1000,0.000023,0
1000,0.000023,0
1000,0.000024,0
1000,0.000023,0
1000,0.000023,0

2000,0.000025,0
2000,0.000024,0
2000,0.000024,0
2000,0.000023,0
2000,0.000023,0
2000,0.000023,0
2000,0.000023,0
2000,0.000023,0
2000,0.000024,0
2000,0.000024,0
2000,0.000023,0
2000,0.000024,0
2000,0.000023,0
2000,0.000026,0
2000,0.000024,0
2000,0.000024,0
2000,0.000024,0
2000,0.000024,0
2000,0.000024,0
2000,0.000023,0
2000,0.000023,0
2000,0.000024,0
2000,0.000023,0
2000,0.000023,0
2000,0.000024,0

3000,0.000025,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000025,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000025,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000023,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000024,0
3000,0.000027,0

4000,0.000273,0
4000,0.000037,0
4000,0.000025,0
4000,0.000027,0
4000,0.000025,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000260,0
4000,0.000025,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000025,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0

5000,0.000026,0
5000,0.000025,0
5000,0.000024,0
5000,0.000024,0
