Thread Count, Parallel Trapezoidal Approximation, Time, Error, Abs Error
21200,0.99999995668,0.74488223500,3.416112e-11,3.416112e-11
21300,0.99999995668,0.69073780799,3.415268e-11,3.415268e-11
21400,0.99999995668,0.78266067100,3.415801e-11,3.415801e-11
21500,0.99999995668,0.69323089000,3.416289e-11,3.416289e-11
21600,0.99999995668,0.69484273500,3.416212e-11,3.416212e-11
21700,0.99999995668,0.75806471400,3.416301e-11,3.416301e-11
21800,0.99999995668,0.75051353200,3.415690e-11,3.415690e-11
21900,0.99999995668,0.72325654099,3.415923e-11,3.415923e-11
22000,0.99999995668,0.74132559501,3.415368e-11,3.415368e-11
22100,0.99999995668,0.73838588700,3.415779e-11,3.415779e-11
22200,0.99999995668,0.75899639900,3.415535e-11,3.415535e-11
22300,0.99999995668,0.74698548400,3.415324e-11,3.415324e-11
22400,0.99999995668,0.74009885899,3.415457e-11,3.415457e-11
22500,0.99999995668,0.77958690601,3.415268e-11,3.415268e-11
22600,0.99999995668,0.78510313500,3.415046e-11,3.415046e-11
22700,0.99999995668,0.74793096501,3.415590e-11,3.415590e-11
22800,0.99999995668,0.87083008300,3.416956e-11,3.416956e-11
22900,0.99999995668,0.76473007699,3.416145e-11,3.416145e-11
23000,0.99999995668,0.78446074300,3.416678e-11,3.416678e-11
23100,0.99999995668,0.77153794499,3.416389e-11,3.416389e-11
23200,0.99999995668,0.77508659000,3.415590e-11,3.415590e-11
23300,0.99999995668,0.81005989900,3.416678e-11,3.416678e-11
23400,0.99999995668,0.84283609899,3.416589e-11,3.416589e-11
23500,0.99999995668,0.79372644800,3.417144e-11,3.417144e-11
23600,0.99999995668,0.79157061300,3.416634e-11,3.416634e-11
23700,0.99999995668,0.78989132600,3.416256e-11,3.416256e-11
23800,0.99999995668,0.80694024100,3.415679e-11,3.415679e-11
23900,0.99999995668,0.81145107400,3.415890e-11,3.415890e-11
24000,0.99999995668,0.85718912000,3.415468e-11,3.415468e-11
24100,0.99999995668,0.83020162600,3.415956e-11,3.415956e-11
24200,0.99999995668,0.81946013600,3.415512e-11,3.415512e-11
24300,0.99999995668,0.89006285999,3.415845e-11,3.415845e-11
24400,0.99999995668,0.80408359300,3.415124e-11,3.415124e-11
24500,0.99999995668,0.86018340700,3.416145e-11,3.416145e-11
24600,0.99999995668,0.84048837601,3.416079e-11,3.416079e-11
24700,0.99999995668,0.80892747401,3.416489e-11,3.416489e-11
24800,0.99999995668,0.84385984999,3.416156e-11,3.416156e-11
24900,0.99999995668,0.83881312900,3.415468e-11,3.415468e-11
25000,0.99999995668,0.84122680100,3.414935e-11,3.414935e-11
25100,0.99999995668,0.89912815701,3.415113e-11,3.415113e-11
25200,0.99999995668,0.91918746100,3.415135e-11,3.415135e-11
25300,0.99999995668,0.85993526499,3.414802e-11,3.414802e-11
25400,0.99999995668,0.87599149400,3.415745e-11,3.415745e-11
25500,0.99999995668,0.87350712900,3.415590e-11,3.415590e-11
25600,0.99999995668,0.84999071700,3.414935e-11,3.414935e-11
25700,0.99999995668,0.88560346801,3.415734e-11,3.415734e-11
25800,0.99999995668,0.87223601701,3.415601e-11,3.415601e-11
25900,0.99999995668,0.84365753300,3.415301e-11,3.415301e-11
26000,0.99999995668,0.88363731001,3.415346e-11,3.415346e-11
