Thread Count, Parallel Sim Approximation, Time, Error, Abs Error
2,0.99384619482,0.01091747101,6.153762e-03,6.153762e-03
100,1.03384619646,0.01177423001,-3.384624e-02,3.384624e-02
200,0.99923081042,0.00849691199,7.691463e-04,7.691463e-04
300,1.00538465683,0.01359502500,-5.384700e-03,5.384700e-03
400,1.01615388804,0.01720320800,-1.615393e-02,1.615393e-02
500,1.00461542603,0.01552922699,-4.615469e-03,4.615469e-03
600,1.02307696525,0.01912576699,-2.307701e-02,2.307701e-02
700,1.01230773404,0.01780904201,-1.230778e-02,1.230778e-02
800,0.98846157921,0.02177439701,1.153838e-02,1.153838e-02
900,0.99692311802,0.02920678200,3.076839e-03,3.076839e-03
1000,0.97615388639,0.02877290800,2.384607e-02,2.384607e-02
1100,1.00923081083,0.03258940901,-9.230854e-03,9.230854e-03
1200,1.00692311843,0.03516573500,-6.923162e-03,6.923162e-03
1300,1.04615388928,0.03786789700,-4.615393e-02,4.615393e-02
1400,0.96846157838,0.04206886201,3.153838e-02,3.153838e-02
1500,0.99692311802,0.04191833999,3.076839e-03,3.076839e-03
1600,0.97461542479,0.04692559200,2.538453e-02,2.538453e-02
1700,1.02923081166,0.04445996101,-2.923085e-02,2.923085e-02
1800,0.99000004081,0.04974116299,9.999916e-03,9.999916e-03
1900,1.00230773363,0.05402536600,-2.307777e-03,2.307777e-03
2000,1.03461542727,0.05659186300,-3.461547e-02,3.461547e-02
2100,1.00384619523,0.05649636299,-3.846239e-03,3.846239e-03
2200,1.02076927285,0.06567297199,-2.076932e-02,2.076932e-02
2300,1.03384619646,0.06773660499,-3.384624e-02,3.384624e-02
2400,0.99461542562,0.06671984700,5.384531e-03,5.384531e-03
2500,0.99461542562,0.06771809400,5.384531e-03,5.384531e-03
2600,1.05615388969,0.06886988200,-5.615393e-02,5.615393e-02
2700,1.02538465765,0.07496351800,-2.538470e-02,2.538470e-02
2800,1.02076927285,0.08238922599,-2.076932e-02,2.076932e-02
2900,1.01153850324,0.07855660999,-1.153855e-02,1.153855e-02
3000,1.02384619605,0.10236112100,-2.384624e-02,2.384624e-02
3100,0.98000004040,0.08589862401,1.999992e-02,1.999992e-02
3200,1.00230773363,0.08858847301,-2.307777e-03,2.307777e-03
3300,1.01307696484,0.09251939200,-1.307701e-02,1.307701e-02
3400,0.98615388681,0.09435499400,1.384607e-02,1.384607e-02
3500,1.00307696443,0.09359091800,-3.077008e-03,3.077008e-03
3600,1.00230773363,0.09690216801,-2.307777e-03,2.307777e-03
3700,1.00307696443,0.10726509400,-3.077008e-03,3.077008e-03
3800,1.04000004287,0.10238440501,-4.000009e-02,4.000009e-02
3900,0.98615388681,0.11844311100,1.384607e-02,1.384607e-02
4000,1.00923081083,0.10775658500,-9.230854e-03,9.230854e-03
4100,0.98384619440,0.12009770299,1.615376e-02,1.615376e-02
4200,1.05923081290,0.13469783901,-5.923086e-02,5.923086e-02
4300,0.99615388722,0.12522190200,3.846069e-03,3.846069e-03
4400,1.01538465724,0.12954302100,-1.538470e-02,1.538470e-02
4500,0.99461542562,0.12382955701,5.384531e-03,5.384531e-03
4600,1.05307696649,0.14378456899,-5.307701e-02,5.307701e-02
4700,1.04923081248,0.13270341400,-4.923086e-02,4.923086e-02
4800,0.99923081042,0.13307025199,7.691463e-04,7.691463e-04
4900,1.04846158168,0.13185368699,-4.846162e-02,4.846162e-02
5000,0.95230773156,0.14044501500,4.769223e-02,4.769223e-02
5100,1.01307696484,0.13329103999,-1.307701e-02,1.307701e-02
5200,1.04769235088,0.13799242800,-4.769239e-02,4.769239e-02
5300,0.96307696278,0.14557925999,3.692299e-02,3.692299e-02
5400,0.97769234800,0.14794285000,2.230761e-02,2.230761e-02
5500,0.99846157962,0.15542787101,1.538377e-03,1.538377e-03
5600,0.94000003875,0.14888876800,5.999992e-02,5.999992e-02
5700,0.99153850241,0.17395124400,8.461454e-03,8.461454e-03
5800,0.96461542438,0.15805680300,3.538453e-02,3.538453e-02
5900,0.99846157962,0.15958289399,1.538377e-03,1.538377e-03
