Particle Size, Parallel Sim Approximation, Time, Error, Abs Error
95000,0.86000003545,0.00036363200,1.399999e-01,1.399999e-01
96000,1.30000005359,0.00032890899,-3.000001e-01,3.000001e-01
97000,1.14000004699,0.00039139301,-1.400001e-01,1.400001e-01
98000,1.30000005359,0.00041880600,-3.000001e-01,3.000001e-01
99000,0.72000002968,0.00036629899,2.799999e-01,2.799999e-01
100000,0.92000003793,0.00106165600,7.999992e-02,7.999992e-02
101000,0.88000003628,0.00559485200,1.199999e-01,1.199999e-01
102000,1.08000004452,0.00212688000,-8.000009e-02,8.000009e-02
103000,1.02000004205,0.00065180400,-2.000009e-02,2.000009e-02
104000,0.88000003628,0.00060977699,1.199999e-01,1.199999e-01
105000,0.88000003628,0.00095380700,1.199999e-01,1.199999e-01
106000,1.20000004947,0.00199634999,-2.000001e-01,2.000001e-01
107000,0.88000003628,0.00520980101,1.199999e-01,1.199999e-01
108000,0.80000003298,0.00383872200,1.999999e-01,1.999999e-01
109000,1.00000004122,0.00553146501,-8.450730e-08,8.450730e-08
110000,1.08000004452,0.00517795900,-8.000009e-02,8.000009e-02
111000,1.18000004864,0.00511945100,-1.800001e-01,1.800001e-01
112000,1.16000004782,0.00521777601,-1.600001e-01,1.600001e-01
113000,0.92000003793,0.00548604701,7.999992e-02,7.999992e-02
114000,0.84000003463,0.00655349501,1.599999e-01,1.599999e-01
115000,0.82000003380,0.00644315999,1.799999e-01,1.799999e-01
116000,0.86000003545,0.00140388400,1.399999e-01,1.399999e-01
117000,0.90000003710,0.00172235900,9.999992e-02,9.999992e-02
118000,0.88000003628,0.00314493199,1.199999e-01,1.199999e-01
119000,0.94000003875,0.00032218501,5.999992e-02,5.999992e-02
120000,1.02000004205,0.00046113500,-2.000009e-02,2.000009e-02
121000,0.98000004040,0.00037180001,1.999992e-02,1.999992e-02
122000,0.96000003957,0.00111263200,3.999992e-02,3.999992e-02
123000,1.12000004617,0.00181030200,-1.200001e-01,1.200001e-01
124000,1.04000004287,0.00044018999,-4.000009e-02,4.000009e-02
125000,0.84000003463,0.00038804501,1.599999e-01,1.599999e-01
126000,1.10000004535,0.00050958201,-1.000001e-01,1.000001e-01
127000,1.14000004699,0.00313336799,-1.400001e-01,1.400001e-01
128000,1.26000005194,0.00157354100,-2.600001e-01,2.600001e-01
129000,1.18000004864,0.00330680101,-1.800001e-01,1.800001e-01
130000,1.34000005524,0.00052028100,-3.400001e-01,3.400001e-01
131000,0.90000003710,0.00040463600,9.999992e-02,9.999992e-02
132000,1.04000004287,0.00090592500,-4.000009e-02,4.000009e-02
133000,1.00000004122,0.00381524600,-8.450730e-08,8.450730e-08
134000,1.04000004287,0.00381385699,-4.000009e-02,4.000009e-02
135000,0.94000003875,0.00153866800,5.999992e-02,5.999992e-02
136000,0.98000004040,0.00499023500,1.999992e-02,1.999992e-02
137000,0.88000003628,0.00091407700,1.199999e-01,1.199999e-01
138000,1.28000005277,0.00341938400,-2.800001e-01,2.800001e-01
139000,0.98000004040,0.00156221700,1.999992e-02,1.999992e-02
140000,1.30000005359,0.00053900700,-3.000001e-01,3.000001e-01
141000,0.88000003628,0.00204382600,1.199999e-01,1.199999e-01
142000,1.14000004699,0.00425773600,-1.400001e-01,1.400001e-01
143000,0.90000003710,0.00038176200,9.999992e-02,9.999992e-02
144000,1.08000004452,0.00165370500,-8.000009e-02,8.000009e-02
145000,1.08000004452,0.00431541700,-8.000009e-02,8.000009e-02
146000,1.20000004947,0.00525052099,-2.000001e-01,2.000001e-01
147000,0.96000003957,0.00388582400,3.999992e-02,3.999992e-02
148000,1.12000004617,0.00540914600,-1.200001e-01,1.200001e-01
149000,0.96000003957,0.00482884599,3.999992e-02,3.999992e-02
150000,1.20000004947,0.00440283801,-2.000001e-01,2.000001e-01
151000,0.98000004040,0.00364752801,1.999992e-02,1.999992e-02
152000,1.24000005112,0.00288419900,-2.400001e-01,2.400001e-01
153000,1.00000004122,0.00056788999,-8.450730e-08,8.450730e-08
154000,0.80000003298,0.00062108799,1.999999e-01,1.999999e-01
155000,1.04000004287,0.00067506300,-4.000009e-02,4.000009e-02
156000,0.80000003298,0.00049373900,1.999999e-01,1.999999e-01
157000,0.86000003545,0.00050582700,1.399999e-01,1.399999e-01
158000,0.96000003957,0.00116937701,3.999992e-02,3.999992e-02
159000,1.12000004617,0.00046346401,-1.200001e-01,1.200001e-01
160000,0.94000003875,0.00091390600,5.999992e-02,5.999992e-02
161000,1.06000004370,0.00060108100,-6.000009e-02,6.000009e-02
162000,1.04000004287,0.00045828799,-4.000009e-02,4.000009e-02
163000,1.16000004782,0.00114482100,-1.600001e-01,1.600001e-01
164000,1.12000004617,0.00144280201,-1.200001e-01,1.200001e-01
165000,1.06000004370,0.00054811600,-6.000009e-02,6.000009e-02
166000,0.94000003875,0.00293024200,5.999992e-02,5.999992e-02
167000,1.24000005112,0.00312142201,-2.400001e-01,2.400001e-01
168000,1.04000004287,0.00418065501,-4.000009e-02,4.000009e-02
169000,0.64000002638,0.00050719400,3.599999e-01,3.599999e-01
170000,1.22000005029,0.00051003200,-2.200001e-01,2.200001e-01
171000,0.96000003957,0.00054804601,3.999992e-02,3.999992e-02
172000,0.92000003793,0.00307824800,7.999992e-02,7.999992e-02
173000,1.00000004122,0.00385474801,-8.450730e-08,8.450730e-08
174000,0.88000003628,0.00353110500,1.199999e-01,1.199999e-01
175000,0.94000003875,0.00034979600,5.999992e-02,5.999992e-02
176000,1.08000004452,0.00035643099,-8.000009e-02,8.000009e-02
177000,0.74000003051,0.00034848900,2.599999e-01,2.599999e-01
178000,0.90000003710,0.00092250700,9.999992e-02,9.999992e-02
179000,0.86000003545,0.00035358300,1.399999e-01,1.399999e-01
180000,0.98000004040,0.00036982201,1.999992e-02,1.999992e-02
181000,0.82000003380,0.00037532099,1.799999e-01,1.799999e-01
