n,Average,Min,Max,Range,Variance
157000,0.001057,0.001006,0.001359,0.000353,0.000001
160000,0.001073,0.001030,0.001428,0.000398,0.000001
163000,0.001100,0.001055,0.001497,0.000442,0.000001
166000,0.001107,0.001076,0.001327,0.000251,0.000001
169000,0.001128,0.001098,0.001405,0.000307,0.000001
172000,0.001174,0.001120,0.001534,0.000414,0.000001
175000,0.001178,0.001141,0.001552,0.000411,0.000001
178000,0.001239,0.001159,0.001679,0.000520,0.000002
181000,0.001240,0.001186,0.001639,0.000453,0.000002
184000,0.001278,0.001203,0.001728,0.000525,0.000002
187000,0.001240,0.001230,0.001267,0.000037,0.000002
190000,0.001285,0.001249,0.001535,0.000286,0.000002
193000,0.001300,0.001271,0.001494,0.000223,0.000002
196000,0.001331,0.001289,0.001546,0.000257,0.000002
199000,0.001410,0.001315,0.001890,0.000575,0.000002
202000,0.001449,0.001336,0.002065,0.000729,0.000002
205000,0.001441,0.001358,0.001935,0.000577,0.000002
208000,0.001508,0.001381,0.001923,0.000542,0.000002
211000,0.001467,0.001400,0.002005,0.000605,0.000002
214000,0.001508,0.001423,0.001993,0.000570,0.000002
217000,0.001519,0.001447,0.002034,0.000587,0.000002
220000,0.001535,0.001465,0.002029,0.000564,0.000002
223000,0.001597,0.001484,0.002242,0.000758,0.000003
226000,0.001619,0.001510,0.002256,0.000746,0.000003
229000,0.001573,0.001534,0.001826,0.000292,0.000002
232000,0.001630,0.001551,0.002061,0.000510,0.000003
235000,0.001692,0.001576,0.002198,0.000622,0.000003
238000,0.001694,0.001602,0.002468,0.000866,0.000003
241000,0.001805,0.001621,0.002233,0.000612,0.000003
244000,0.001751,0.001644,0.002469,0.000825,0.000003
247000,0.001774,0.001664,0.002311,0.000647,0.000003
250000,0.001784,0.001688,0.002346,0.000658,0.000003
253000,0.001816,0.001700,0.002305,0.000605,0.000003
256000,0.001827,0.001729,0.002411,0.000682,0.000003
259000,0.001876,0.001753,0.002383,0.000630,0.000004
262000,0.001900,0.001773,0.002533,0.000760,0.000004
265000,0.001910,0.001792,0.002515,0.000723,0.000004
268000,0.001939,0.001822,0.002672,0.000850,0.000004
271000,0.001977,0.001842,0.002572,0.000730,0.000004
274000,0.001955,0.001867,0.002589,0.000722,0.000004
277000,0.001903,0.001885,0.001932,0.000047,0.000004
280000,0.001983,0.001902,0.002621,0.000719,0.000004
283000,0.002066,0.001932,0.002702,0.000770,0.000004
286000,0.002112,0.001950,0.002724,0.000774,0.000005
289000,0.002096,0.001975,0.002758,0.000783,0.000004
292000,0.002073,0.002002,0.002374,0.000372,0.000004
295000,0.002225,0.002023,0.002808,0.000785,0.000005
298000,0.002191,0.002046,0.002781,0.000735,0.000005
301000,0.002211,0.002073,0.002703,0.000630,0.000005
304000,0.002395,0.002088,0.003002,0.000914,0.000006
307000,0.002387,0.002108,0.002825,0.000717,0.000006
310000,0.002282,0.002134,0.002942,0.000808,0.000005
313000,0.002448,0.002148,0.003124,0.000976,0.000006
316000,0.002353,0.002178,0.003068,0.000890,0.000006
319000,0.002413,0.002196,0.003122,0.000926,0.000006
322000,0.002372,0.002224,0.003008,0.000784,0.000006
325000,0.002462,0.002249,0.003103,0.000854,0.000006
328000,0.002426,0.002268,0.003211,0.000943,0.000006
331000,0.002508,0.002293,0.003236,0.000943,0.000006
334000,0.002624,0.002316,0.003618,0.001302,0.000007
337000,0.002597,0.002335,0.003270,0.000935,0.000007
340000,0.002533,0.002363,0.003244,0.000881,0.000007
343000,0.002579,0.002384,0.003419,0.001035,0.000007
346000,0.002563,0.002405,0.003348,0.000943,0.000007
349000,0.002549,0.002427,0.003372,0.000945,0.000007
352000,0.002612,0.002450,0.003477,0.001027,0.000007
355000,0.002599,0.002473,0.003363,0.000890,0.000007
358000,0.002681,0.002500,0.003525,0.001025,0.000007
361000,0.002657,0.002527,0.003565,0.001038,0.000007
364000,0.002663,0.002554,0.003447,0.000893,0.000007
367000,0.002679,0.002581,0.003197,0.000616,0.000007
370000,0.002686,0.002613,0.003249,0.000636,0.000007
373000,0.002756,0.002612,0.003548,0.000936,0.000008
376000,0.002769,0.002628,0.003606,0.000978,0.000008
379000,0.002759,0.002654,0.003075,0.000421,0.000008
382000,0.002981,0.002700,0.003830,0.001130,0.000009
385000,0.003022,0.002716,0.003723,0.001007,0.000009
388000,0.003054,0.002751,0.003809,0.001058,0.000009
391000,0.003003,0.002761,0.003686,0.000925,0.000009
394000,0.003163,0.002797,0.003867,0.001070,0.000010
397000,0.003012,0.002801,0.003785,0.000984,0.000009
400000,0.003209,0.002839,0.003881,0.001042,0.000010
403000,0.003065,0.002860,0.003825,0.000965,0.000009
406000,0.003123,0.002877,0.003731,0.000854,0.000010
409000,0.003203,0.002909,0.004060,0.001151,0.000010
412000,0.003241,0.002929,0.004078,0.001149,0.000011
415000,0.003171,0.002953,0.003643,0.000690,0.000010
418000,0.003372,0.002957,0.004667,0.001710,0.000012
421000,0.003179,0.003001,0.004181,0.001180,0.000010
424000,0.003224,0.003019,0.004136,0.001117,0.000010
427000,0.003364,0.003038,0.004201,0.001163,0.000011
430000,0.003414,0.003064,0.004181,0.001117,0.000012
433000,0.003363,0.003072,0.004281,0.001209,0.000011
436000,0.003390,0.003095,0.004262,0.001167,0.000012
439000,0.003531,0.003127,0.004297,0.001170,0.000013
442000,0.003419,0.003147,0.004310,0.001163,0.000012
445000,0.003432,0.003178,0.004425,0.001247,0.000012
448000,0.003564,0.003190,0.004278,0.001088,0.000013
451000,0.003594,0.003212,0.004170,0.000958,0.000013
454000,0.003553,0.003251,0.004400,0.001149,0.000013
457000,0.003679,0.003280,0.004630,0.001350,0.000014
460000,0.003627,0.003296,0.004657,0.001361,0.000013
463000,0.003760,0.003322,0.004633,0.001311,0.000014
466000,0.003871,0.003359,0.004658,0.001299,0.000015
469000,0.003919,0.003347,0.004605,0.001258,0.000016
472000,0.003783,0.003343,0.004715,0.001372,0.000015
475000,0.003887,0.003367,0.004793,0.001426,0.000015
478000,0.003893,0.003406,0.004710,0.001304,0.000015
481000,0.003913,0.003443,0.004863,0.001420,0.000016
484000,0.003900,0.003491,0.004802,0.001311,0.000015
487000,0.003884,0.003502,0.004852,0.001350,0.000015
490000,0.003896,0.003510,0.004854,0.001344,0.000015
493000,0.003888,0.003540,0.005076,0.001536,0.000015
496000,0.003904,0.003559,0.004871,0.001312,0.000015
499000,0.003879,0.003574,0.005011,0.001437,0.000015
502000,0.003895,0.003586,0.005225,0.001639,0.000015
505000,0.004068,0.003610,0.005463,0.001853,0.000017
508000,0.003890,0.003658,0.004950,0.001292,0.000015
511000,0.004126,0.003636,0.005404,0.001768,0.000017
514000,0.004105,0.003703,0.005595,0.001892,0.000017
517000,0.004083,0.003707,0.005467,0.001760,0.000017
520000,0.004051,0.003741,0.005804,0.002063,0.000017
523000,0.004144,0.003757,0.005782,0.002025,0.000018
