n,Average,Min,Max,Range,Variance
1000,0.000007,0.000006,0.000018,0.000012,0.000000
4000,0.000026,0.000025,0.000040,0.000015,0.000000
7000,0.000044,0.000043,0.000058,0.000015,0.000000
10000,0.000062,0.000060,0.000078,0.000018,0.000000
13000,0.000081,0.000079,0.000107,0.000028,0.000000
16000,0.000099,0.000098,0.000118,0.000020,0.000000
19000,0.000118,0.000116,0.000134,0.000018,0.000000
22000,0.000137,0.000133,0.000152,0.000019,0.000000
25000,0.000157,0.000154,0.000171,0.000017,0.000000
28000,0.000178,0.000169,0.000247,0.000078,0.000000
31000,0.000196,0.000193,0.000217,0.000024,0.000000
34000,0.000217,0.000211,0.000292,0.000081,0.000000
37000,0.000233,0.000230,0.000253,0.000023,0.000000
40000,0.000253,0.000242,0.000315,0.000073,0.000000
43000,0.000274,0.000268,0.000371,0.000103,0.000000
46000,0.000289,0.000286,0.000308,0.000022,0.000000
49000,0.000308,0.000305,0.000323,0.000018,0.000000
52000,0.000329,0.000324,0.000402,0.000078,0.000000
55000,0.000351,0.000338,0.000473,0.000135,0.000000
58000,0.000368,0.000361,0.000440,0.000079,0.000000
61000,0.000392,0.000380,0.000527,0.000147,0.000000
64000,0.000408,0.000398,0.000530,0.000132,0.000000
67000,0.000426,0.000417,0.000563,0.000146,0.000000
70000,0.000444,0.000435,0.000536,0.000101,0.000000
73000,0.000457,0.000454,0.000464,0.000010,0.000000
76000,0.000490,0.000468,0.000672,0.000204,0.000000
79000,0.000512,0.000492,0.000673,0.000181,0.000000
82000,0.000522,0.000511,0.000680,0.000169,0.000000
85000,0.000542,0.000521,0.000720,0.000199,0.000000
88000,0.000559,0.000547,0.000731,0.000184,0.000000
91000,0.000571,0.000561,0.000595,0.000034,0.000000
94000,0.000597,0.000571,0.000785,0.000214,0.000000
97000,0.000622,0.000601,0.000820,0.000219,0.000000
100000,0.000637,0.000623,0.000777,0.000154,0.000000
103000,0.000657,0.000630,0.000806,0.000176,0.000000
106000,0.000677,0.000649,0.000957,0.000308,0.000000
109000,0.000693,0.000666,0.000835,0.000169,0.000000
112000,0.000713,0.000689,0.000944,0.000255,0.000001
115000,0.000735,0.000704,0.001013,0.000309,0.000001
118000,0.000745,0.000731,0.000778,0.000047,0.000001
121000,0.000785,0.000745,0.001042,0.000297,0.000001
124000,0.000819,0.000769,0.001108,0.000339,0.000001
127000,0.000829,0.000797,0.001122,0.000325,0.000001
130000,0.000856,0.000815,0.001102,0.000287,0.000001
133000,0.000907,0.000829,0.001229,0.000400,0.000001
136000,0.000897,0.000854,0.001217,0.000363,0.000001
139000,0.000921,0.000875,0.001119,0.000244,0.000001
142000,0.000924,0.000898,0.001220,0.000322,0.000001
145000,0.000932,0.000914,0.000964,0.000050,0.000001
148000,0.000967,0.000940,0.001123,0.000183,0.000001
151000,0.001021,0.000960,0.001261,0.000301,0.000001
154000,0.001021,0.000983,0.001302,0.000319,0.000001
