n,Average,Min,Max,Range,Variance
1000,0.000007,0.000006,0.000019,0.000013,0.000000
2000,0.000012,0.000011,0.000020,0.000009,0.000000
3000,0.000018,0.000017,0.000027,0.000010,0.000000
4000,0.000024,0.000023,0.000033,0.000010,0.000000
5000,0.000030,0.000028,0.000041,0.000013,0.000000
6000,0.000036,0.000034,0.000064,0.000030,0.000000
7000,0.000041,0.000040,0.000054,0.000014,0.000000
8000,0.000047,0.000045,0.000062,0.000017,0.000000
9000,0.000053,0.000051,0.000063,0.000012,0.000000
10000,0.000059,0.000057,0.000073,0.000016,0.000000
11000,0.000066,0.000063,0.000099,0.000036,0.000000
12000,0.000071,0.000068,0.000085,0.000017,0.000000
13000,0.000076,0.000074,0.000088,0.000014,0.000000
14000,0.000082,0.000080,0.000095,0.000015,0.000000
15000,0.000092,0.000086,0.000161,0.000075,0.000000
16000,0.000095,0.000091,0.000132,0.000041,0.000000
17000,0.000101,0.000097,0.000116,0.000019,0.000000
18000,0.000105,0.000103,0.000116,0.000013,0.000000
19000,0.000115,0.000109,0.000202,0.000093,0.000000
20000,0.000117,0.000114,0.000130,0.000016,0.000000
21000,0.000125,0.000120,0.000137,0.000017,0.000000
22000,0.000129,0.000126,0.000143,0.000017,0.000000
23000,0.000140,0.000131,0.000256,0.000125,0.000000
24000,0.000141,0.000137,0.000168,0.000031,0.000000
25000,0.000146,0.000143,0.000164,0.000021,0.000000
26000,0.000154,0.000149,0.000171,0.000022,0.000000
27000,0.000162,0.000154,0.000262,0.000108,0.000000
28000,0.000164,0.000160,0.000171,0.000011,0.000000
29000,0.000173,0.000166,0.000265,0.000099,0.000000
30000,0.000174,0.000172,0.000187,0.000015,0.000000
31000,0.000196,0.000177,0.000349,0.000172,0.000000
32000,0.000194,0.000183,0.000312,0.000129,0.000000
33000,0.000207,0.000189,0.000371,0.000182,0.000000
34000,0.000200,0.000195,0.000210,0.000015,0.000000
35000,0.000211,0.000201,0.000350,0.000149,0.000000
36000,0.000219,0.000207,0.000404,0.000197,0.000000
37000,0.000220,0.000213,0.000308,0.000095,0.000000
38000,0.000232,0.000219,0.000433,0.000214,0.000000
39000,0.000231,0.000224,0.000242,0.000018,0.000000
40000,0.000237,0.000230,0.000259,0.000029,0.000000
41000,0.000246,0.000237,0.000310,0.000073,0.000000
42000,0.000258,0.000242,0.000387,0.000145,0.000000
43000,0.000262,0.000248,0.000469,0.000221,0.000000
44000,0.000265,0.000254,0.000406,0.000152,0.000000
45000,0.000282,0.000261,0.000452,0.000191,0.000000
46000,0.000274,0.000267,0.000291,0.000024,0.000000
47000,0.000282,0.000272,0.000306,0.000034,0.000000
48000,0.000285,0.000279,0.000295,0.000016,0.000000
49000,0.000302,0.000285,0.000520,0.000235,0.000000
50000,0.000314,0.000290,0.000550,0.000260,0.000000
51000,0.000311,0.000295,0.000564,0.000269,0.000000
52000,0.000327,0.000304,0.000514,0.000210,0.000000
53000,0.000322,0.000309,0.000483,0.000174,0.000000
54000,0.000340,0.000316,0.000529,0.000213,0.000000
55000,0.000348,0.000323,0.000617,0.000294,0.000000
56000,0.000348,0.000327,0.000535,0.000208,0.000000
57000,0.000352,0.000336,0.000524,0.000188,0.000000
58000,0.000368,0.000342,0.000626,0.000284,0.000000
59000,0.000355,0.000346,0.000411,0.000065,0.000000
60000,0.000375,0.000354,0.000549,0.000195,0.000000
61000,0.000386,0.000361,0.000649,0.000288,0.000000
62000,0.000384,0.000367,0.000628,0.000261,0.000000
63000,0.000378,0.000372,0.000392,0.000020,0.000000
64000,0.000395,0.000379,0.000580,0.000201,0.000000
65000,0.000397,0.000386,0.000506,0.000120,0.000000
66000,0.000421,0.000394,0.000749,0.000355,0.000000
67000,0.000408,0.000400,0.000440,0.000040,0.000000
68000,0.000434,0.000405,0.000737,0.000332,0.000000
69000,0.000428,0.000412,0.000692,0.000280,0.000000
70000,0.000453,0.000418,0.000867,0.000449,0.000000
71000,0.000460,0.000427,0.000793,0.000366,0.000000
72000,0.000462,0.000432,0.000791,0.000359,0.000000
73000,0.000461,0.000438,0.000733,0.000295,0.000000
74000,0.000464,0.000444,0.000692,0.000248,0.000000
75000,0.000461,0.000453,0.000532,0.000079,0.000000
76000,0.000474,0.000459,0.000647,0.000188,0.000000
77000,0.000491,0.000468,0.000829,0.000361,0.000000
78000,0.000495,0.000475,0.000806,0.000331,0.000000
79000,0.000486,0.000480,0.000503,0.000023,0.000000
80000,0.000522,0.000487,0.000902,0.000415,0.000000
81000,0.000502,0.000493,0.000534,0.000041,0.000000
82000,0.000547,0.000501,0.000929,0.000428,0.000000
83000,0.000521,0.000510,0.000605,0.000095,0.000000
84000,0.000546,0.000519,0.000822,0.000303,0.000000
85000,0.000557,0.000526,0.000962,0.000436,0.000000
86000,0.000573,0.000534,0.001022,0.000488,0.000000
87000,0.000556,0.000541,0.000692,0.000151,0.000000
88000,0.000602,0.000547,0.001026,0.000479,0.000000
89000,0.000566,0.000555,0.000630,0.000075,0.000000
90000,0.000587,0.000563,0.000924,0.000361,0.000000
91000,0.000577,0.000569,0.000590,0.000021,0.000000
92000,0.000585,0.000576,0.000600,0.000024,0.000000
93000,0.000603,0.000585,0.000835,0.000250,0.000000
94000,0.000614,0.000592,0.000911,0.000319,0.000000
95000,0.000621,0.000600,0.000873,0.000273,0.000000
96000,0.000659,0.000608,0.001167,0.000559,0.000000
97000,0.000648,0.000614,0.001004,0.000390,0.000000
98000,0.000647,0.000618,0.000954,0.000336,0.000000
99000,0.000696,0.000629,0.001130,0.000501,0.000001
100000,0.000699,0.000637,0.001170,0.000533,0.000001
101000,0.000656,0.000643,0.000818,0.000175,0.000000
102000,0.000716,0.000652,0.001080,0.000428,0.000001
103000,0.000704,0.000658,0.001045,0.000387,0.000001
104000,0.000710,0.000666,0.001192,0.000526,0.000001
105000,0.000737,0.000672,0.001036,0.000364,0.000001
106000,0.000777,0.000682,0.001251,0.000569,0.000001
107000,0.000721,0.000690,0.001070,0.000380,0.000001
108000,0.000766,0.000698,0.001231,0.000533,0.000001
109000,0.000713,0.000704,0.000736,0.000032,0.000001
110000,0.000734,0.000712,0.000988,0.000276,0.000001
111000,0.000749,0.000720,0.001128,0.000408,0.000001
112000,0.000758,0.000729,0.001131,0.000402,0.000001
113000,0.000751,0.000735,0.000924,0.000189,0.000001
114000,0.000809,0.000742,0.001269,0.000527,0.000001
115000,0.000791,0.000750,0.001201,0.000451,0.000001
116000,0.000833,0.000756,0.001318,0.000562,0.000001
117000,0.000829,0.000765,0.001281,0.000516,0.000001
118000,0.000829,0.000773,0.001392,0.000619,0.000001
119000,0.000822,0.000783,0.001428,0.000645,0.000001
120000,0.000833,0.000789,0.001354,0.000565,0.000001
121000,0.000833,0.000789,0.001481,0.000692,0.000001
122000,0.000835,0.000794,0.001172,0.000378,0.000001
123000,0.000864,0.000800,0.001165,0.000365,0.000001
124000,0.000869,0.000809,0.001194,0.000385,0.000001
125000,0.000919,0.000819,0.001537,0.000718,0.000001
126000,0.000893,0.000829,0.001529,0.000700,0.000001
127000,0.000909,0.000840,0.001502,0.000662,0.000001
128000,0.000906,0.000848,0.001456,0.000608,0.000001
129000,0.000890,0.000855,0.001536,0.000681,0.000001
130000,0.000903,0.000859,0.001568,0.000709,0.000001
131000,0.000917,0.000873,0.001584,0.000711,0.000001
132000,0.000917,0.000877,0.001408,0.000531,0.000001
133000,0.000957,0.000885,0.001631,0.000746,0.000001
134000,0.000961,0.000888,0.001653,0.000765,0.000001
135000,0.000910,0.000899,0.000944,0.000045,0.000001
136000,0.000947,0.000907,0.001421,0.000514,0.000001
137000,0.000939,0.000912,0.001255,0.000343,0.000001
138000,0.000972,0.000923,0.001357,0.000434,0.000001
139000,0.000951,0.000933,0.001160,0.000227,0.000001
140000,0.000982,0.000934,0.001483,0.000549,0.000001
141000,0.001023,0.000943,0.001639,0.000696,0.000001
142000,0.001008,0.000953,0.001571,0.000618,0.000001
143000,0.000990,0.000960,0.001168,0.000208,0.000001
144000,0.001031,0.000969,0.001575,0.000606,0.000001
145000,0.001029,0.000974,0.001447,0.000473,0.000001
146000,0.001048,0.000979,0.001534,0.000555,0.000001
147000,0.001055,0.000990,0.001854,0.000864,0.000001
148000,0.001068,0.000991,0.001760,0.000769,0.000001
149000,0.001060,0.001000,0.001459,0.000459,0.000001
150000,0.001071,0.001010,0.001542,0.000532,0.000001
151000,0.001079,0.001016,0.001470,0.000454,0.000001
152000,0.001082,0.001029,0.001443,0.000414,0.000001
153000,0.001117,0.001035,0.001808,0.000773,0.000001
154000,0.001080,0.001043,0.001365,0.000322,0.000001
155000,0.001162,0.001048,0.001597,0.000549,0.000001
156000,0.001148,0.001054,0.001935,0.000881,0.000001
157000,0.001168,0.001058,0.001896,0.000838,0.000001
158000,0.001225,0.001070,0.001839,0.000769,0.000002
159000,0.001190,0.001076,0.001961,0.000885,0.000001
160000,0.001161,0.001088,0.001494,0.000406,0.000001
161000,0.001215,0.001095,0.002179,0.001084,0.000002
162000,0.001214,0.001097,0.001957,0.000860,0.000002
163000,0.001272,0.001107,0.001999,0.000892,0.000002
164000,0.001219,0.001115,0.001972,0.000857,0.000002
165000,0.001235,0.001120,0.001967,0.000847,0.000002
