n,Average,Min,Max,Range,Variance
114000,0.000138,0.000136,0.000161,0.000025,0.000000
115000,0.000139,0.000137,0.000145,0.000008,0.000000
116000,0.000139,0.000138,0.000142,0.000004,0.000000
117000,0.000141,0.000139,0.000148,0.000009,0.000000
118000,0.000145,0.000141,0.000213,0.000072,0.000000
119000,0.000144,0.000142,0.000149,0.000007,0.000000
120000,0.000145,0.000143,0.000149,0.000006,0.000000
121000,0.000145,0.000144,0.000147,0.000003,0.000000
122000,0.000147,0.000146,0.000151,0.000005,0.000000
123000,0.000148,0.000146,0.000149,0.000003,0.000000
124000,0.000149,0.000147,0.000150,0.000003,0.000000
125000,0.000151,0.000149,0.000158,0.000009,0.000000
126000,0.000164,0.000150,0.000486,0.000336,0.000000
127000,0.000153,0.000151,0.000160,0.000009,0.000000
128000,0.000154,0.000152,0.000155,0.000003,0.000000
129000,0.000155,0.000154,0.000162,0.000008,0.000000
130000,0.000156,0.000155,0.000160,0.000005,0.000000
131000,0.000157,0.000156,0.000160,0.000004,0.000000
132000,0.000159,0.000157,0.000165,0.000008,0.000000
133000,0.000163,0.000158,0.000227,0.000069,0.000000
134000,0.000165,0.000160,0.000264,0.000104,0.000000
135000,0.000162,0.000161,0.000165,0.000004,0.000000
136000,0.000177,0.000162,0.000503,0.000341,0.000000
137000,0.000165,0.000163,0.000167,0.000004,0.000000
138000,0.000165,0.000164,0.000171,0.000007,0.000000
139000,0.000167,0.000165,0.000171,0.000006,0.000000
140000,0.000169,0.000167,0.000174,0.000007,0.000000
141000,0.000169,0.000168,0.000171,0.000003,0.000000
142000,0.000171,0.000169,0.000178,0.000009,0.000000
143000,0.000172,0.000170,0.000179,0.000009,0.000000
144000,0.000173,0.000171,0.000174,0.000003,0.000000
145000,0.000208,0.000172,0.000997,0.000825,0.000000
146000,0.000176,0.000174,0.000201,0.000027,0.000000
147000,0.000177,0.000175,0.000187,0.000012,0.000000
148000,0.000184,0.000176,0.000342,0.000166,0.000000
149000,0.000179,0.000177,0.000185,0.000008,0.000000
150000,0.000181,0.000179,0.000188,0.000009,0.000000
151000,0.000182,0.000180,0.000188,0.000008,0.000000
152000,0.000183,0.000181,0.000189,0.000008,0.000000
153000,0.000184,0.000182,0.000187,0.000005,0.000000
154000,0.000185,0.000183,0.000194,0.000011,0.000000
155000,0.000210,0.000184,0.000678,0.000494,0.000000
156000,0.000188,0.000185,0.000200,0.000015,0.000000
157000,0.000188,0.000187,0.000190,0.000003,0.000000
158000,0.000190,0.000188,0.000195,0.000007,0.000000
159000,0.000247,0.000189,0.001609,0.001420,0.000000
160000,0.000192,0.000190,0.000195,0.000005,0.000000
161000,0.000195,0.000191,0.000218,0.000027,0.000000
162000,0.000194,0.000192,0.000199,0.000007,0.000000
163000,0.000199,0.000194,0.000271,0.000077,0.000000
164000,0.000197,0.000195,0.000198,0.000003,0.000000
165000,0.000198,0.000196,0.000202,0.000006,0.000000
166000,0.000199,0.000197,0.000203,0.000006,0.000000
167000,0.000200,0.000198,0.000210,0.000012,0.000000
168000,0.000202,0.000200,0.000208,0.000008,0.000000
169000,0.000212,0.000201,0.000436,0.000235,0.000000
170000,0.000204,0.000202,0.000205,0.000003,0.000000
171000,0.000205,0.000203,0.000213,0.000010,0.000000
172000,0.000206,0.000204,0.000208,0.000004,0.000000
173000,0.000207,0.000206,0.000211,0.000005,0.000000
174000,0.000209,0.000206,0.000214,0.000008,0.000000
175000,0.000209,0.000208,0.000212,0.000004,0.000000
176000,0.000211,0.000209,0.000212,0.000003,0.000000
177000,0.000211,0.000210,0.000214,0.000004,0.000000
