Dimension,Time
1000,0.015111
1000,0.017347
1000,0.014749
1000,0.015376
1000,0.014912
1000,0.021904
1000,0.012136
1000,0.011158
1000,0.013370
1000,0.014950
1000,0.015258
1000,0.014892
1000,0.015491
1000,0.015505
1000,0.015284
1000,0.014796
1000,0.015011
1000,0.014819
1000,0.013572
1000,0.012265
1000,0.014672
1000,0.014698
1000,0.016347
1000,0.014000
1000,0.015212
1000,0.015058
1000,0.015362
1000,0.012450
1000,0.010865
1000,0.014391
1000,0.014882
1000,0.015287
1000,0.014809
1000,0.015587
1000,0.014968
1000,0.012890
1000,0.018985
1000,0.017611
1000,0.014884
1000,0.015029
1000,0.014969
1000,0.014167
1000,0.018820
1000,0.014742
1000,0.015323
1000,0.014456

1100,0.018797
1100,0.018730
1100,0.020153
1100,0.013376
1100,0.019010
1100,0.019807
1100,0.019147
1100,0.016684
1100,0.018874
1100,0.018800
1100,0.019322
1100,0.018803
1100,0.018416
1100,0.018658
1100,0.020883
1100,0.018496
1100,0.012851
1100,0.019178
1100,0.018902
1100,0.016094
1100,0.019887
1100,0.014217
1100,0.018980
1100,0.014681
1100,0.015593
1100,0.016584
1100,0.017272
1100,0.018900
1100,0.016989
1100,0.019057
1100,0.026152
1100,0.018706
1100,0.016727
1100,0.016014
1100,0.018029
1100,0.018435
1100,0.023603
1100,0.021904
1100,0.018134
1100,0.021801
1100,0.017243
1100,0.018208
1100,0.019726
1100,0.016324
1100,0.018170
1100,0.024096
1100,0.013496
1100,0.013586
1100,0.021142
1100,0.017947

1200,0.025734
1200,0.021538
1200,0.023217
1200,0.020284
1200,0.023987
1200,0.022325
1200,0.020441
1200,0.024249
1200,0.021591
1200,0.021328
1200,0.022059
1200,0.025579
1200,0.019608
1200,0.017928
1200,0.022053
1200,0.021956
1200,0.016486
1200,0.015593
1200,0.022803
1200,0.024938
1200,0.021942
1200,0.021628
1200,0.016833
1200,0.018420
1200,0.026203
1200,0.021870
1200,0.017798
1200,0.022223
1200,0.021538
1200,0.023588
1200,0.016396
1200,0.017330
1200,0.022723
1200,0.016077
1200,0.018868
1200,0.019532
1200,0.018491
1200,0.017867
1200,0.019646
1200,0.025117
1200,0.022281
1200,0.019316
1200,0.022855
1200,0.024919
1200,0.021586
1200,0.022411
1200,0.018835
1200,0.019822
1200,0.021192
1200,0.018796

1300,0.025020
1300,0.029365
1300,0.024413
1300,0.026425
1300,0.031226
1300,0.027184
1300,0.029151
1300,0.026119
1300,0.025434
1300,0.028167
1300,0.027013
1300,0.024834
1300,0.026066
1300,0.029306
1300,0.025654
1300,0.027541
1300,0.027534
1300,0.029632
1300,0.028427
1300,0.024825
1300,0.025231
1300,0.026322
1300,0.025807
1300,0.024126
1300,0.026506
1300,0.025224
1300,0.023218
1300,0.019119
1300,0.026771
1300,0.025857
1300,0.022691
1300,0.025498
1300,0.020484
1300,0.025815
1300,0.025742
1300,0.032237
1300,0.020284
1300,0.025939
1300,0.025554
1300,0.026780
1300,0.026376
1300,0.030088
1300,0.025065
1300,0.025321
1300,0.026380
1300,0.024122
1300,0.027559
1300,0.030920
1300,0.024177
1300,0.020125

1400,0.029880
1400,0.029862
1400,0.030111
1400,0.029207
1400,0.031278
1400,0.021944
1400,0.023730
1400,0.021972
1400,0.030301
1400,0.030699
1400,0.029240
1400,0.030668
1400,0.028090
1400,0.023132
1400,0.030541
1400,0.029616
1400,0.031191
1400,0.030295
1400,0.030307
1400,0.032004
1400,0.032001
1400,0.022449
1400,0.026454
1400,0.030957
1400,0.022049
1400,0.029709
1400,0.031367
1400,0.038092
1400,0.024024
1400,0.025423
1400,0.032619
1400,0.033182
1400,0.029452
1400,0.026913
1400,0.033887
1400,0.037110
1400,0.029950
1400,0.028747
1400,0.031041
1400,0.027371
1400,0.021796
1400,0.032741
1400,0.028123
1400,0.023783
1400,0.032878
1400,0.033444
1400,0.030565
1400,0.029986
1400,0.032413
1400,0.029863

1500,0.030335
1500,0.035722
1500,0.027940
1500,0.038837
1500,0.036918
1500,0.034573
1500,0.034310
1500,0.041974
1500,0.038780
1500,0.034720
1500,0.036673
1500,0.038576
1500,0.031832
1500,0.026072
1500,0.034274
1500,0.026769
1500,0.038200
1500,0.028523
1500,0.029639
1500,0.025324
1500,0.042405
1500,0.037694
1500,0.039936
1500,0.034335
1500,0.037857
1500,0.041338
1500,0.034650
1500,0.029143
1500,0.033499
1500,0.041369
1500,0.041922
1500,0.032162
1500,0.028604
1500,0.028123
1500,0.039332
1500,0.038983
1500,0.037992
1500,0.027007
1500,0.033736
1500,0.037943
1500,0.036164
1500,0.040643
1500,0.034345
1500,0.033843
1500,0.046416
1500,0.038714
1500,0.026742
1500,0.043866
1500,0.028786
1500,0.037954

1600,0.041322
1600,0.036773
1600,0.042651
1600,0.047891
1600,0.037079
1600,0.037594
1600,0.047974
1600,0.032723
1600,0.038062
1600,0.038135
1600,0.038213
1600,0.041608
1600,0.042303
1600,0.036552
1600,0.035789
1600,0.051486
1600,0.029075
1600,0.040236
1600,0.029381
1600,0.039841
1600,0.036949
1600,0.036887
1600,0.038503
1600,0.034288
1600,0.040609
1600,0.041489
1600,0.038823
1600,0.039093
1600,0.029975
1600,0.047958
1600,0.043202
1600,0.039899
1600,0.036875
1600,0.028979
1600,0.044968
1600,0.037778
1600,0.033472
1600,0.037480
1600,0.043753
1600,0.035844
1600,0.041407
1600,0.040048
1600,0.036838
1600,0.040446
1600,0.046634
1600,0.047809
1600,0.046042
1600,0.040175
1600,0.035565
1600,0.031004

