Thread Count, Parallel Sim Approximation, Time, Error, Abs Error
1000000,1.000000,0.000004,3.916192e-08,3.916192e-08
1000000,1.000000,0.000003,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.000003,3.916192e-08,3.916192e-08
1000000,1.000000,0.000002,3.916192e-08,3.916192e-08
1000000,1.000000,0.002151,3.916192e-08,3.916192e-08
1000000,1.000000,0.001806,3.916192e-08,3.916192e-08
1000000,1.000000,0.003381,3.916192e-08,3.916192e-08
1000000,1.000000,0.001618,3.916192e-08,3.916192e-08
1000000,1.000000,0.003127,3.916192e-08,3.916192e-08
1000000,1.000000,0.004976,3.916192e-08,3.916192e-08
1000000,1.000000,0.002977,3.916192e-08,3.916192e-08
1000000,1.000000,0.004623,3.916192e-08,3.916192e-08
1000000,1.000000,0.002392,3.916192e-08,3.916192e-08
1000000,1.000000,0.002015,3.916192e-08,3.916192e-08
1000000,1.000000,0.002676,3.916192e-08,3.916192e-08
1000000,1.000000,0.005164,3.916192e-08,3.916192e-08
1000000,1.000000,0.004456,3.916192e-08,3.916192e-08
1000000,1.000000,0.001817,3.916192e-08,3.916192e-08
1000000,1.000000,0.002360,3.916192e-08,3.916192e-08
1000000,1.000000,0.003555,3.916192e-08,3.916192e-08
1000000,1.000000,0.002609,3.916192e-08,3.916192e-08
1000000,1.000000,0.001645,3.916192e-08,3.916192e-08
1000000,1.000000,0.002546,3.916192e-08,3.916192e-08
1000000,1.000000,0.004778,3.916192e-08,3.916192e-08
1000000,1.000000,0.001587,3.916192e-08,3.916192e-08
1000000,1.000000,0.001991,3.916192e-08,3.916192e-08
1000000,1.000000,0.003152,3.916192e-08,3.916192e-08
1000000,1.000000,0.004610,3.916192e-08,3.916192e-08
1000000,1.000000,0.001976,3.916192e-08,3.916192e-08
1000000,1.000000,0.003656,3.916192e-08,3.916192e-08
1000000,1.000000,0.007347,3.916192e-08,3.916192e-08
1000000,1.000000,0.005369,3.916192e-08,3.916192e-08
1000000,1.000000,0.007017,3.916192e-08,3.916192e-08
1000000,1.000000,0.004888,3.916192e-08,3.916192e-08
1000000,1.000000,0.004765,3.916192e-08,3.916192e-08
