Thread Count, Parallel Trapezoidal Approximation, Time, Error, Abs Error
10904,0.932357,0.455885,6.764319e-02,6.764319e-02
11004,0.943200,0.465125,5.680022e-02,5.680022e-02
11104,0.943835,0.440315,5.616538e-02,5.616538e-02
11204,0.939554,0.479893,6.044648e-02,6.044648e-02
11304,0.933605,0.451570,6.639544e-02,6.639544e-02
11404,0.893667,0.461545,1.063330e-01,1.063330e-01
11504,0.941894,0.438136,5.810615e-02,5.810615e-02
11604,0.942502,0.493826,5.749801e-02,5.749801e-02
11704,0.942704,0.472009,5.729638e-02,5.729638e-02
11804,0.822321,0.462164,1.776788e-01,1.776788e-01
11904,0.942192,0.446532,5.780838e-02,5.780838e-02
12004,0.938324,0.448147,6.167592e-02,6.167592e-02
12104,0.938519,0.445873,6.148130e-02,6.148130e-02
12204,0.373241,0.477823,6.267586e-01,6.267586e-01
12304,0.948769,0.469045,5.123113e-02,5.123113e-02
12404,0.944193,0.485143,5.580737e-02,5.580737e-02
12504,0.938747,0.503425,6.125319e-02,6.125319e-02
12604,0.946033,0.469457,5.396742e-02,5.396742e-02
12704,0.943201,0.510550,5.679917e-02,5.679917e-02
12804,0.942784,0.509388,5.721610e-02,5.721610e-02
12904,0.937903,0.519617,6.209680e-02,6.209680e-02
13004,0.936503,0.478967,6.349749e-02,6.349749e-02
13104,0.943283,0.487094,5.671722e-02,5.671722e-02
13204,0.323574,0.515157,6.764265e-01,6.764265e-01
13304,0.941043,0.491950,5.895736e-02,5.895736e-02
13404,0.940915,0.498751,5.908528e-02,5.908528e-02
13504,0.961355,0.502317,3.864533e-02,3.864533e-02
13604,0.924199,0.523348,7.580112e-02,7.580112e-02
13704,0.943312,0.519868,5.668808e-02,5.668808e-02
13804,0.943674,0.504576,5.632629e-02,5.632629e-02
13904,0.942059,0.493134,5.794055e-02,5.794055e-02
14004,0.939092,0.567557,6.090807e-02,6.090807e-02
14104,0.940255,0.534712,5.974507e-02,5.974507e-02
14204,0.945433,0.586351,5.456748e-02,5.456748e-02
14304,0.940157,0.520189,5.984295e-02,5.984295e-02
14404,0.859941,0.506130,1.400588e-01,1.400588e-01
14504,0.940053,0.563259,5.994680e-02,5.994680e-02
14604,0.949660,0.565977,5.033984e-02,5.033984e-02
14704,0.947035,0.561293,5.296520e-02,5.296520e-02
14804,0.940588,0.561207,5.941173e-02,5.941173e-02
14904,0.943649,0.581913,5.635139e-02,5.635139e-02
15004,0.951625,0.549764,4.837536e-02,4.837536e-02
15104,0.944591,0.539535,5.540952e-02,5.540952e-02
15204,0.935386,0.546716,6.461411e-02,6.461411e-02
15304,0.940440,0.593349,5.955971e-02,5.955971e-02
15404,0.945879,0.565352,5.412060e-02,5.412060e-02
15504,0.939270,0.619259,6.072969e-02,6.072969e-02
15604,0.934153,0.598330,6.584715e-02,6.584715e-02
15704,0.951744,0.590366,4.825599e-02,4.825599e-02
15804,0.947415,0.562648,5.258466e-02,5.258466e-02
15904,0.944046,0.557499,5.595405e-02,5.595405e-02
16004,0.944269,0.565647,5.573151e-02,5.573151e-02
16104,0.937382,0.572872,6.261780e-02,6.261780e-02
16204,0.920324,0.615584,7.967587e-02,7.967587e-02
16304,0.946998,0.589827,5.300253e-02,5.300253e-02
16404,0.936254,0.605260,6.374572e-02,6.374572e-02
16504,0.949003,0.630321,5.099729e-02,5.099729e-02
16604,0.674082,0.659708,3.259185e-01,3.259185e-01
16704,0.940958,0.602073,5.904254e-02,5.904254e-02
16804,0.944326,0.583119,5.567419e-02,5.567419e-02
16904,0.944381,0.600968,5.561933e-02,5.561933e-02
17004,0.941753,0.602026,5.824724e-02,5.824724e-02
17104,0.947523,0.593538,5.247667e-02,5.247667e-02
17204,0.947815,0.606040,5.218481e-02,5.218481e-02
17304,0.949472,0.604681,5.052765e-02,5.052765e-02
17404,0.946861,0.660876,5.313880e-02,5.313880e-02
17504,0.944907,0.601576,5.509308e-02,5.509308e-02
17604,0.843088,0.618125,1.569117e-01,1.569117e-01
17704,0.941616,0.679495,5.838432e-02,5.838432e-02
17804,0.941391,0.707955,5.860921e-02,5.860921e-02
17904,0.947914,0.773416,5.208619e-02,5.208619e-02
18004,0.942651,0.711760,5.734915e-02,5.734915e-02
18104,0.947085,0.687836,5.291507e-02,5.291507e-02
18204,0.944376,0.659812,5.562424e-02,5.562424e-02
18304,0.948982,0.637224,5.101816e-02,5.101816e-02
18404,0.942106,0.696187,5.789420e-02,5.789420e-02
18504,0.950927,0.680640,4.907263e-02,4.907263e-02
18604,0.950192,0.708972,4.980763e-02,4.980763e-02
18704,0.948811,0.689847,5.118876e-02,5.118876e-02
18804,0.949312,0.666930,5.068759e-02,5.068759e-02
18904,0.952237,0.668418,4.776334e-02,4.776334e-02
19004,0.949174,0.718084,5.082593e-02,5.082593e-02
19104,0.959364,0.671879,4.063626e-02,4.063626e-02
19204,0.946809,0.723511,5.319147e-02,5.319147e-02
19304,0.942513,0.650042,5.748736e-02,5.748736e-02
19404,0.951776,0.759009,4.822371e-02,4.822371e-02
19504,0.951954,0.720080,4.804651e-02,4.804651e-02
19604,0.893416,0.670475,1.065845e-01,1.065845e-01
19704,0.935128,0.676054,6.487228e-02,6.487228e-02
19804,0.953066,0.683869,4.693452e-02,4.693452e-02
