Partition Size, Parallel Trapezoidal Approximation, Time, Error, Abs Error
22201,0.999997,0.138799,3.150703e-06,3.150703e-06
22301,0.999597,0.101295,4.029631e-04,4.029631e-04
22401,0.985467,0.137247,1.453309e-02,1.453309e-02
22501,0.999270,0.102725,7.295891e-04,7.295891e-04
22601,0.995118,0.115706,4.882484e-03,4.882484e-03
22701,0.980834,0.117617,1.916584e-02,1.916584e-02
22801,0.983614,0.066860,1.638583e-02,1.638583e-02
22901,0.948505,0.132788,5.149552e-02,5.149552e-02
23001,0.985631,0.132742,1.436921e-02,1.436921e-02
23101,0.447879,0.079775,5.521211e-01,5.521211e-01
23201,0.936928,0.116486,6.307179e-02,6.307179e-02
23301,0.988299,0.092458,1.170126e-02,1.170126e-02
23401,0.982426,0.117447,1.757437e-02,1.757437e-02
23501,0.980558,0.125863,1.944249e-02,1.944249e-02
23601,1.000000,0.126784,1.422898e-07,1.422898e-07
23701,0.989093,0.125469,1.090707e-02,1.090707e-02
23801,0.999729,0.157269,2.707265e-04,2.707265e-04
23901,1.000001,0.161576,-5.902028e-07,5.902028e-07
24001,0.997778,0.098199,2.222183e-03,2.222183e-03
24101,0.999843,0.084269,1.573360e-04,1.573360e-04
24201,0.999655,0.127596,3.445813e-04,3.445813e-04
24301,0.914082,0.104892,8.591821e-02,8.591821e-02
24401,0.982963,0.123176,1.703741e-02,1.703741e-02
24501,0.981163,0.077409,1.883733e-02,1.883733e-02
24601,0.986627,0.103029,1.337294e-02,1.337294e-02
24701,0.983711,0.128922,1.628943e-02,1.628943e-02
24801,0.949254,0.134685,5.074618e-02,5.074618e-02
24901,0.946893,0.057188,5.310682e-02,5.310682e-02
25001,0.999994,0.144425,6.204338e-06,6.204338e-06
25101,0.998762,0.136819,1.237949e-03,1.237949e-03
25201,0.998040,0.103075,1.960122e-03,1.960122e-03
25301,0.981164,0.124361,1.883583e-02,1.883583e-02
25401,0.981991,0.088888,1.800899e-02,1.800899e-02
25501,0.989140,0.061764,1.086033e-02,1.086033e-02
25601,0.966818,0.126616,3.318161e-02,3.318161e-02
25701,0.983364,0.137831,1.663583e-02,1.663583e-02
25801,0.922269,0.168660,7.773081e-02,7.773081e-02
25901,1.000332,0.082640,-3.323255e-04,3.323255e-04
26001,0.987590,0.090270,1.240991e-02,1.240991e-02
