Partition Size, Serial Trapezoidal Approximation, Time, Error, Abs Error,,Partition Size, Parallel Trapezoidal Approximation, Time, Error, Abs Error
5001,0.999999,0.002587,1.42E-06,1.42E-06,,5001,0.99529,0.027058,4.71E-03,4.71E-03
5101,0.999999,0.00264,1.36E-06,1.36E-06,,5101,0.999929,0.026657,7.08E-05,7.08E-05
5201,0.999999,0.002685,1.31E-06,1.31E-06,,5201,0.904206,0.036639,9.58E-02,9.58E-02
5301,0.999999,0.002674,1.27E-06,1.27E-06,,5301,0.974275,0.022701,2.57E-02,2.57E-02
5401,0.999999,0.002656,1.23E-06,1.23E-06,,5401,0.994451,0.017159,5.55E-03,5.55E-03
5501,0.999999,0.003116,1.18E-06,1.18E-06,,5501,0.984484,0.032818,1.55E-02,1.55E-02
5601,0.999999,0.002771,1.14E-06,1.14E-06,,5601,0.992939,0.030432,7.06E-03,7.06E-03
5701,0.999999,0.002764,1.11E-06,1.11E-06,,5701,0.979259,0.036282,2.07E-02,2.07E-02
5801,0.999999,0.002722,1.07E-06,1.07E-06,,5801,1.000365,0.037166,-3.65E-04,3.65E-04
5901,0.999999,0.002772,1.04E-06,1.04E-06,,5901,0.999999,0.02599,1.04E-06,1.04E-06
6001,0.999999,0.002825,1.01E-06,1.01E-06,,6001,0.976887,0.036512,2.31E-02,2.31E-02
6101,0.999999,0.002853,9.78E-07,9.78E-07,,6101,0.978516,0.035293,2.15E-02,2.15E-02
6201,0.999999,0.002772,9.49E-07,9.49E-07,,6201,0.996019,0.026484,3.98E-03,3.98E-03
6301,0.999999,0.002824,9.22E-07,9.22E-07,,6301,0.98158,0.017648,1.84E-02,1.84E-02
6401,0.999999,0.002908,8.96E-07,8.96E-07,,6401,0.993282,0.04236,6.72E-03,6.72E-03
6501,0.999999,0.002912,8.71E-07,8.71E-07,,6501,0.980037,0.033919,2.00E-02,2.00E-02
6601,0.999999,0.002831,8.47E-07,8.47E-07,,6601,0.988419,0.045962,1.16E-02,1.16E-02
6701,0.999999,0.002871,8.25E-07,8.25E-07,,6701,0.918188,0.039259,8.18E-02,8.18E-02
6801,0.999999,0.002912,8.03E-07,8.03E-07,,6801,0.983533,0.035915,1.65E-02,1.65E-02
6901,0.999999,0.002959,7.82E-07,7.82E-07,,6901,0.987595,0.037933,1.24E-02,1.24E-02
7001,0.999999,0.002869,7.63E-07,7.63E-07,,7001,0.921448,0.045725,7.86E-02,7.86E-02
7101,0.999999,0.002913,7.44E-07,7.44E-07,,7101,0.895291,0.031595,1.05E-01,1.05E-01
7201,0.999999,0.002963,7.25E-07,7.25E-07,,7201,0.989126,0.043081,1.09E-02,1.09E-02
7301,0.999999,0.002994,7.08E-07,7.08E-07,,7301,0.987607,0.040251,1.24E-02,1.24E-02
7401,0.999999,0.003033,6.91E-07,6.91E-07,,7401,0.990697,0.032541,9.30E-03,9.30E-03
7501,0.999999,0.003074,6.75E-07,6.75E-07,,7501,0.984826,0.034438,1.52E-02,1.52E-02
7601,0.999999,0.003117,6.59E-07,6.59E-07,,7601,0.945883,0.035199,5.41E-02,5.41E-02
7701,0.999999,0.003171,6.45E-07,6.45E-07,,7701,0.9104,0.028754,8.96E-02,8.96E-02
7801,0.999999,0.003192,6.30E-07,6.30E-07,,7801,0.999823,0.041482,1.77E-04,1.77E-04
7901,0.999999,0.00324,6.16E-07,6.16E-07,,7901,0.999983,0.028947,1.72E-05,1.72E-05
8001,0.999999,0.003312,6.03E-07,6.03E-07,,8001,0.987676,0.050225,1.23E-02,1.23E-02
8101,0.999999,0.003322,5.90E-07,5.90E-07,,8101,0.982316,0.043039,1.77E-02,1.77E-02
8201,0.999999,0.003372,5.78E-07,5.78E-07,,8201,0.977665,0.052738,2.23E-02,2.23E-02
8301,0.999999,0.003435,5.66E-07,5.66E-07,,8301,0.943137,0.058212,5.69E-02,5.69E-02
