Thread,Average,Min,Max,Range,Variance
461,0.239193,0.223466,0.258798,0.035332,0.057282
462,0.239043,0.221773,0.261775,0.040002,0.057206
463,0.239066,0.222881,0.268462,0.045581,0.057230
464,0.238959,0.220618,0.267044,0.046426,0.057206
465,0.238540,0.216638,0.259613,0.042975,0.056988
466,0.238141,0.220667,0.261395,0.040728,0.056801
467,0.239965,0.222905,0.260463,0.037558,0.057667
468,0.238523,0.211489,0.255594,0.044105,0.056962
469,0.240857,0.221698,0.276966,0.055268,0.058106
470,0.238895,0.222753,0.253852,0.031099,0.057129
471,0.240946,0.223053,0.284472,0.061419,0.058192
472,0.238104,0.221550,0.267289,0.045739,0.056778
473,0.237818,0.219390,0.259035,0.039645,0.056621
474,0.239017,0.221669,0.261827,0.040158,0.057213
475,0.239771,0.223071,0.264991,0.041920,0.057570
476,0.237040,0.221259,0.262731,0.041472,0.056263
477,0.238239,0.216382,0.259249,0.042867,0.056820
478,0.241803,0.218391,0.273305,0.054914,0.058596
479,0.239353,0.216586,0.257450,0.040864,0.057373
480,0.238549,0.225055,0.267168,0.042113,0.056991
481,0.240292,0.221999,0.255483,0.033484,0.057793
482,0.237588,0.217170,0.253852,0.036682,0.056514
483,0.238043,0.217832,0.256976,0.039144,0.056735
484,0.237548,0.219518,0.254894,0.035376,0.056492
485,0.239802,0.216238,0.269882,0.053644,0.057611
486,0.237881,0.222992,0.255151,0.032159,0.056649
487,0.239556,0.219799,0.270468,0.050669,0.057488
488,0.238420,0.218194,0.257003,0.038809,0.056901
489,0.237703,0.220677,0.268951,0.048274,0.056602
490,0.240628,0.220099,0.265978,0.045879,0.057987
491,0.240293,0.225262,0.272003,0.046741,0.057826
492,0.237816,0.223788,0.258170,0.034382,0.056619
493,0.238675,0.219587,0.263520,0.043933,0.057056
494,0.239151,0.220974,0.268301,0.047327,0.057272
495,0.238643,0.224519,0.257638,0.033119,0.057029
496,0.241021,0.221288,0.366762,0.145474,0.058482
497,0.238661,0.221040,0.262490,0.041450,0.057044
498,0.242626,0.223592,0.274679,0.051087,0.058952
499,0.241807,0.223716,0.286376,0.062660,0.058625
500,0.240390,0.219240,0.264210,0.044970,0.057885
501,0.240035,0.223380,0.267026,0.043646,0.057711
502,0.240320,0.223524,0.280463,0.056939,0.057861
503,0.238643,0.214782,0.258678,0.043896,0.057051
504,0.239519,0.217780,0.275193,0.057413,0.057478
505,0.241624,0.214101,0.282449,0.068348,0.058492
506,0.240249,0.220987,0.259506,0.038519,0.057802
507,0.242506,0.226143,0.262438,0.036295,0.058888
508,0.238864,0.219798,0.259380,0.039582,0.057125
509,0.237997,0.218057,0.259118,0.041061,0.056745
510,0.237559,0.221626,0.260675,0.039049,0.056507
511,0.241427,0.225853,0.265592,0.039739,0.058366
512,0.245174,0.226637,0.262067,0.035430,0.060165
