Dimension,Time
1000,0.017331
1000,0.011610
1000,0.011692
1000,0.011917
1000,0.012649
1000,0.013253
1000,0.011378
1000,0.014430
1000,0.014492
1000,0.012295
1000,0.013696
1000,0.012059
1000,0.012239
1000,0.015242
1000,0.016857
1000,0.017622
1000,0.011571
1000,0.011054
1000,0.011943
1000,0.016574
1000,0.017027
1000,0.011937
1000,0.016758
1000,0.017571
1000,0.011956
1000,0.012721
1000,0.012006
1000,0.012029
1000,0.013556
1000,0.020755
1000,0.019947
1000,0.018244
1000,0.014900
1000,0.020172
1000,0.021872
1000,0.017109
1000,0.012173
1000,0.012919
1000,0.011512
1000,0.015550
1000,0.016759
1000,0.017192
1000,0.014674
1000,0.014693
1000,0.022868
1000,0.016042

1100,0.024743
1100,0.020778
1100,0.022845
1100,0.022631
1100,0.019282
1100,0.015621
1100,0.021544
1100,0.017618
1100,0.018328
1100,0.020503
1100,0.016692
1100,0.022040
1100,0.019136
1100,0.015948
1100,0.019460
1100,0.020450
1100,0.017113
1100,0.021383
1100,0.015872
1100,0.015440
1100,0.021534
1100,0.015691
1100,0.015417
1100,0.016017
1100,0.017069
1100,0.017084
1100,0.018937
1100,0.021205
1100,0.021920
1100,0.015745
1100,0.017773
1100,0.015897
1100,0.025364
1100,0.022365
1100,0.021920
1100,0.015972
1100,0.016052
1100,0.015901
1100,0.015548
1100,0.016608
1100,0.018091
1100,0.016108
1100,0.017525
1100,0.020113
1100,0.017121
1100,0.020497
1100,0.015251
1100,0.015429
1100,0.015838
1100,0.023106

1200,0.021824
1200,0.023544
1200,0.028516
1200,0.022362
1200,0.027755
1200,0.027088
1200,0.022629
1200,0.030456
1200,0.024849
1200,0.024262
1200,0.026020
1200,0.022225
1200,0.021919
1200,0.021407
1200,0.025875
1200,0.022701
1200,0.026009
1200,0.021183
1200,0.021448
1200,0.027691
1200,0.026385
1200,0.028544
1200,0.021590
1200,0.021947
1200,0.024628
1200,0.026905
1200,0.026714
1200,0.022723
1200,0.025163
1200,0.027438
1200,0.021697
1200,0.022387
1200,0.028169
1200,0.023782
1200,0.022422
1200,0.021574
1200,0.027400
1200,0.021391
1200,0.024140
1200,0.026502
1200,0.021661
1200,0.023620
1200,0.026013
1200,0.029436
1200,0.021485
1200,0.022576
1200,0.021618
1200,0.028275
1200,0.026724
1200,0.021478

1300,0.027197
1300,0.031023
1300,0.031286
1300,0.026269
1300,0.033993
1300,0.025953
1300,0.033452
1300,0.024033
1300,0.026947
1300,0.032214
1300,0.028949
1300,0.025331
1300,0.024380
1300,0.030627
1300,0.025155
1300,0.024665
1300,0.026325
1300,0.032136
1300,0.031734
1300,0.025728
1300,0.023515
1300,0.033180
1300,0.030240
1300,0.033237
1300,0.024971
1300,0.024148
1300,0.024988
1300,0.026478
1300,0.029533
1300,0.026562
1300,0.029673
1300,0.031049
1300,0.030186
1300,0.024339
1300,0.028566
1300,0.024497
1300,0.033553
1300,0.031448
1300,0.026123
1300,0.024760
1300,0.031552
1300,0.025326
1300,0.026643
1300,0.024875
1300,0.027776
1300,0.026762
1300,0.025237
1300,0.026744
1300,0.028047
1300,0.029378

1400,0.034193
1400,0.035308
1400,0.037081
1400,0.031105
1400,0.036856
1400,0.039858
1400,0.039359
1400,0.037777
1400,0.036972
1400,0.039629
1400,0.032116
1400,0.031915
1400,0.030683
1400,0.037626
1400,0.039823
1400,0.036085
1400,0.040995
1400,0.037861
1400,0.031438
1400,0.031851
1400,0.040174
1400,0.035178
1400,0.031218
1400,0.034920
1400,0.038158
1400,0.035261
1400,0.032366
1400,0.039238
1400,0.030517
1400,0.031136
1400,0.037113
1400,0.040003
1400,0.032808
1400,0.037086
1400,0.030086
1400,0.035490
1400,0.032940
1400,0.034729
1400,0.034704
1400,0.030623
1400,0.039278
1400,0.040340
1400,0.037149
1400,0.039972
1400,0.040360
1400,0.031764
1400,0.032588
1400,0.037559
1400,0.031531
1400,0.036310

1500,0.040177
1500,0.037751
1500,0.039578
1500,0.045546
1500,0.038231
1500,0.045276
1500,0.043312
1500,0.038124
1500,0.037427
1500,0.037548
1500,0.037271
1500,0.038620
1500,0.041941
1500,0.037724
1500,0.038881
1500,0.041501
1500,0.045570
1500,0.042301
1500,0.048578
1500,0.041533
1500,0.043983
1500,0.038971
1500,0.038895
1500,0.046186
1500,0.044662
1500,0.038243
1500,0.050201
1500,0.040324
1500,0.037264
1500,0.047414
1500,0.043238
1500,0.039847
1500,0.043607
1500,0.038065
1500,0.044789
1500,0.040269
1500,0.038476
1500,0.041005
1500,0.041112
1500,0.044077
1500,0.037472
1500,0.040964
1500,0.042626
1500,0.046462
1500,0.043784
1500,0.042678
1500,0.043306
1500,0.041930
1500,0.041206
1500,0.038270

1600,0.052216
1600,0.048268
1600,0.047621
1600,0.054032
1600,0.043700
1600,0.044468
1600,0.047652
1600,0.047731
1600,0.042681
1600,0.050978
1600,0.047736
1600,0.045407
1600,0.049679
1600,0.044006
1600,0.054724
1600,0.051874
1600,0.043937
1600,0.053040
1600,0.057654
1600,0.054216
1600,0.056842
1600,0.056361
1600,0.042921
1600,0.043732
1600,0.048757
1600,0.050936
1600,0.049979
1600,0.051537
1600,0.050592
1600,0.051560
1600,0.045064
1600,0.053764
1600,0.044085
1600,0.051478
1600,0.046649
1600,0.045286
1600,0.054645
1600,0.054375
1600,0.045182
1600,0.043634
1600,0.051408
1600,0.062899
1600,0.044686
1600,0.056832
1600,0.064241
1600,0.051627
1600,0.044539
1600,0.057213
1600,0.049779
1600,0.050258

1700,0.064146
1700,0.051401
1700,0.061745
1700,0.048512
1700,0.060460
1700,0.051447
1700,0.058505
1700,0.047756
1700,0.063715
1700,0.050736
1700,0.047692
1700,0.050955
1700,0.060231
1700,0.051710
1700,0.059837
1700,0.059664
1700,0.060150
1700,0.048767
1700,0.055871
1700,0.049209
1700,0.057309
1700,0.047798
1700,0.061723
1700,0.053961
1700,0.049794
1700,0.060653
1700,0.057857
1700,0.056016
1700,0.053609
1700,0.049408
1700,0.056467
1700,0.048621
1700,0.058169
1700,0.058440
1700,0.058252
1700,0.053543
1700,0.051664
1700,0.058025
1700,0.049076
1700,0.060082
1700,0.059236
1700,0.058312
1700,0.047474
1700,0.056792
1700,0.058060
1700,0.056789
1700,0.059338
1700,0.055964
1700,0.060241
1700,0.059391

1800,0.072554
1800,0.067080
1800,0.065871
1800,0.073928
1800,0.068108
1800,0.076875
1800,0.076545
1800,0.067233
1800,0.073143
1800,0.060238
1800,0.064490
1800,0.068530
1800,0.069899
1800,0.060293
1800,0.075158
1800,0.063563
1800,0.068690
1800,0.069718
1800,0.072040
1800,0.065739
1800,0.071436
1800,0.067227
1800,0.072781
1800,0.072069
1800,0.065259
1800,0.069528
1800,0.066389
1800,0.067806
1800,0.073500
1800,0.074132
1800,0.066073
1800,0.070922
1800,0.070859
1800,0.065680
1800,0.062148
1800,0.072464
1800,0.066956
1800,0.072917
1800,0.069250
1800,0.071482
1800,0.065861
1800,0.070430
1800,0.060928
1800,0.069150
1800,0.064409
1800,0.067130
1800,0.065863
1800,0.066944
1800,0.073728
1800,0.070714

1900,0.081978
1900,0.076723
1900,0.080875
1900,0.070114
1900,0.070860
1900,0.074355
1900,0.080683
1900,0.078035
1900,0.069712
1900,0.074153
1900,0.071881
1900,0.083387
1900,0.074905
1900,0.069542
1900,0.084842
1900,0.079923
1900,0.077094
1900,0.082026
1900,0.075443
1900,0.074551
1900,0.093112
1900,0.075438
1900,0.081530
1900,0.075958
1900,0.081242
1900,0.079854
1900,0.073678
1900,0.079616
1900,0.080459
1900,0.074986
1900,0.077056
1900,0.078649
1900,0.068975
1900,0.080197
1900,0.071479
1900,0.071909
1900,0.082184
1900,0.070784
1900,0.093919
1900,0.080512
1900,0.070762
1900,0.077136
1900,0.080046
1900,0.078283
1900,0.069220
1900,0.076507
1900,0.081459
1900,0.069775
1900,0.079134
1900,0.081947

2000,0.090240
2000,0.094359
2000,0.081835
2000,0.095822
2000,0.084245
2000,0.081224
2000,0.085683
2000,0.088787
2000,0.084444
2000,0.094712
2000,0.095686
2000,0.076801
2000,0.086902
2000,0.091420
2000,0.078690
2000,0.100763
2000,0.099064
2000,0.090066
2000,0.078032
2000,0.099543
2000,0.082857
2000,0.077678
2000,0.093319
2000,0.085277
2000,0.081628
2000,0.106475
2000,0.099667
2000,0.090481
2000,0.091578
2000,0.089071
2000,0.084106
2000,0.115977
2000,0.090782
2000,0.099161
2000,0.088346
2000,0.097736
2000,0.087919
2000,0.090222
2000,0.080724
2000,0.091518
2000,0.087173
2000,0.087910
2000,0.088955
2000,0.082733
2000,0.090553
2000,0.084077
2000,0.087704
2000,0.094155
2000,0.083709
2000,0.095298

2100,0.105689
2100,0.132969
2100,0.088664
2100,0.091594
2100,0.097731
2100,0.104669
2100,0.092563
2100,0.090799
2100,0.091887
2100,0.100803
2100,0.101337
2100,0.102811
2100,0.092089
2100,0.103540
2100,0.096805
2100,0.098029
2100,0.094301
2100,0.106207
2100,0.108446
2100,0.092079
2100,0.096259
2100,0.098197
2100,0.103417
2100,0.091844
2100,0.100369
2100,0.103592
2100,0.090125
2100,0.095376
2100,0.099455
2100,0.091423
2100,0.101704
2100,0.089724
2100,0.112105
2100,0.093061
2100,0.094203
2100,0.105002
2100,0.102531
2100,0.101013
2100,0.094049
2100,0.091497
2100,0.099341
2100,0.098869
2100,0.096181
2100,0.097321
2100,0.098490
2100,0.089712
2100,0.097571
2100,0.098449
2100,0.101118
2100,0.093700

2200,0.107336
2200,0.109886
2200,0.109622
2200,0.110752
2200,0.115157
2200,0.111017
2200,0.109946
2200,0.103164
2200,0.113272
2200,0.103850
2200,0.108200
2200,0.111174
2200,0.103133
2200,0.107376
2200,0.115360
2200,0.107624
2200,0.111142
2200,0.110058
2200,0.106379
2200,0.111825
2200,0.105956
2200,0.118856
2200,0.101041
2200,0.106120
2200,0.116333
2200,0.115896
2200,0.110714
2200,0.114745
2200,0.103658
2200,0.107619
2200,0.108230
2200,0.107499
2200,0.132578
2200,0.119442
2200,0.120575
2200,0.108011
2200,0.111311
2200,0.113530
2200,0.107726
2200,0.116628
2200,0.108850
2200,0.108357
2200,0.126205
2200,0.108317
2200,0.119561
2200,0.110438
2200,0.105567
2200,0.121632
2200,0.116430
2200,0.109986

2300,0.121837
2300,0.144294
2300,0.120394
2300,0.129615
2300,0.126224
2300,0.131238
2300,0.131229
2300,0.129629
2300,0.120551
2300,0.119903
2300,0.123354
2300,0.120641
2300,0.122693
2300,0.128125
2300,0.120644
2300,0.127092
2300,0.115435
2300,0.125254
2300,0.130866
2300,0.134282
2300,0.122494
2300,0.124288
2300,0.133369
2300,0.134203
2300,0.127383
2300,0.128896
2300,0.119219
2300,0.119769
2300,0.135473
2300,0.114847
2300,0.123416
2300,0.125482
2300,0.123367
2300,0.125052
2300,0.131959
2300,0.129035
2300,0.124770
2300,0.126359
2300,0.130657
2300,0.122738
2300,0.137319
2300,0.124896
2300,0.131589
2300,0.126835
2300,0.126515
2300,0.125814
2300,0.118878
2300,0.127108
2300,0.119617
2300,0.124234

2400,0.147356
2400,0.134712
2400,0.143311
2400,0.144349
2400,0.135446
2400,0.131315
2400,0.130514
2400,0.136641
2400,0.143413
2400,0.145351
2400,0.139653
2400,0.139701
2400,0.142457
2400,0.142692
2400,0.130632
2400,0.137406
2400,0.141637
2400,0.135424
2400,0.145711
2400,0.130312
2400,0.138420
2400,0.136204
2400,0.141510
2400,0.143170
2400,0.142146
2400,0.143815
2400,0.141240
2400,0.135062
2400,0.135835
2400,0.140293
2400,0.153552
2400,0.132120
2400,0.136116
2400,0.129879
2400,0.131509
2400,0.140471
2400,0.133377
2400,0.123432
2400,0.135461
2400,0.151848
2400,0.133920
2400,0.143298
2400,0.141884
2400,0.141476
2400,0.146803
2400,0.139211
2400,0.134073
2400,0.134181
2400,0.130271
2400,0.135048

2500,0.154195
2500,0.150543
2500,0.182958
2500,0.150632
2500,0.148101
2500,0.144843
2500,0.152479
2500,0.145477
2500,0.142839
2500,0.142325
2500,0.159583
2500,0.154311
2500,0.160582
2500,0.148226
2500,0.164684
2500,0.166874
2500,0.157851
2500,0.146366
2500,0.154060
2500,0.145441
2500,0.152274
2500,0.146041
2500,0.149496
2500,0.143136
2500,0.165199
2500,0.143886
2500,0.143322
2500,0.151283
2500,0.158423
2500,0.149051
2500,0.155531
2500,0.167223
2500,0.158898
2500,0.159340
2500,0.152941
2500,0.172735
2500,0.162549
2500,0.156666
2500,0.163046
2500,0.156596
2500,0.147421
2500,0.154393
2500,0.146243
2500,0.152322
2500,0.152850
2500,0.159897
2500,0.140473
2500,0.160085
2500,0.171713
2500,0.156175

2600,0.162471
2600,0.176443
2600,0.175826
2600,0.165459
2600,0.169657
2600,0.169648
2600,0.171475
2600,0.159072
2600,0.167484
2600,0.165884
2600,0.161771
2600,0.170645
2600,0.161196
2600,0.167811
2600,0.172881
2600,0.166859
2600,0.185764
2600,0.183579
2600,0.168365
2600,0.159050
2600,0.161903
2600,0.168631
2600,0.173144
2600,0.163543
2600,0.162368
2600,0.170100
2600,0.162700
2600,0.158536
2600,0.166370
2600,0.167568
2600,0.168576
2600,0.164636
2600,0.159492
2600,0.163144
2600,0.167900
2600,0.157922
2600,0.156875
2600,0.170918
2600,0.162256
2600,0.162411
2600,0.174177
2600,0.159164
2600,0.158090
2600,0.156225
2600,0.160458
2600,0.176842
2600,0.162835
2600,0.187051
2600,0.159400
2600,0.164105

2700,0.181030
2700,0.179044
2700,0.172899
2700,0.177901
2700,0.180735
2700,0.184047
2700,0.186278
2700,0.174990
2700,0.188066
2700,0.187833
2700,0.177912
2700,0.178082
2700,0.179222
2700,0.184612
2700,0.183231
2700,0.180430
2700,0.183326
2700,0.183029
2700,0.175791
2700,0.182063
2700,0.182898
2700,0.171045
2700,0.176911
2700,0.182330
2700,0.189935
2700,0.169096
2700,0.168993
2700,0.188473
2700,0.183998
2700,0.197111
2700,0.196957
2700,0.189521
2700,0.181094
2700,0.181378
2700,0.189062
2700,0.172375
2700,0.189882
2700,0.188818
2700,0.180027
2700,0.172967
2700,0.177378
2700,0.180629
2700,0.172939
2700,0.177098
2700,0.198589
2700,0.187158
2700,0.178197
2700,0.204917
2700,0.178034
2700,0.196225

2800,0.203529
2800,0.196846
2800,0.209570
2800,0.195744
2800,0.211292
2800,0.202255
2800,0.205017
2800,0.214059
2800,0.198412
2800,0.195476
2800,0.190088
2800,0.204243
2800,0.189598
2800,0.201541
2800,0.201642
2800,0.191226
2800,0.200859
2800,0.196462
2800,0.203121
2800,0.197692
2800,0.194912
2800,0.194583
2800,0.195440
2800,0.201268
2800,0.190792
2800,0.199773
2800,0.198651
2800,0.191875
2800,0.201543
2800,0.184540
2800,0.199414
2800,0.198158
2800,0.181766
2800,0.196758
2800,0.197615
2800,0.190973
2800,0.193600
2800,0.196868
2800,0.198261
2800,0.197547
2800,0.204819
2800,0.202346
2800,0.194495
2800,0.190372
2800,0.202679
2800,0.195347
2800,0.197627
2800,0.190815
2800,0.193444
2800,0.196323

2900,0.218726
2900,0.220677
2900,0.213130
2900,0.224046
2900,0.218359
2900,0.220858
2900,0.210807
2900,0.204614
2900,0.208099
2900,0.209594
2900,0.215464
2900,0.215274
2900,0.243157
2900,0.208242
2900,0.219889
2900,0.216686
2900,0.208055
2900,0.211574
2900,0.214754
2900,0.212228
2900,0.236385
2900,0.215794
2900,0.211189
2900,0.254440
2900,0.206234
2900,0.207472
2900,0.213591
2900,0.209034
2900,0.208789
2900,0.208662
2900,0.220210
2900,0.207082
2900,0.210932
2900,0.204820
2900,0.216359
2900,0.209508
2900,0.214566
2900,0.200838
2900,0.225215
2900,0.216459
2900,0.218216
2900,0.207472
2900,0.214377
2900,0.209515
2900,0.210111
2900,0.215718
2900,0.200200
2900,0.208630
2900,0.216471
2900,0.224142

3000,0.237368
3000,0.228260
3000,0.230578
3000,0.238457
3000,0.241278
3000,0.232978
3000,0.232512
3000,0.227902
3000,0.236356
3000,0.235598
3000,0.222210
3000,0.231453
3000,0.228237
3000,0.224805
3000,0.232807
3000,0.223787
3000,0.227890
3000,0.226191
3000,0.222152
3000,0.220826
3000,0.240419
3000,0.235220
3000,0.235859
3000,0.230588
3000,0.225493
3000,0.228056
3000,0.225783
3000,0.228346
3000,0.237259
3000,0.230568
3000,0.223761
3000,0.227763
3000,0.236683
3000,0.224277
3000,0.226026
3000,0.237626
3000,0.236069
3000,0.230300
3000,0.235071
3000,0.237733
3000,0.226002
3000,0.215212
3000,0.231015
3000,0.221416
3000,0.236450
3000,0.226198
3000,0.242144
3000,0.221918
3000,0.224589
3000,0.223228

3100,0.249526
3100,0.245682
3100,0.245108
3100,0.244817
3100,0.248197
3100,0.230306
3100,0.245170
3100,0.243707
3100,0.256807
3100,0.239779
3100,0.240066
3100,0.239352
3100,0.236948
3100,0.233746
3100,0.252459
3100,0.241053
3100,0.240912
3100,0.244839
3100,0.235480
3100,0.235765
3100,0.253852
3100,0.231279
3100,0.255993
3100,0.242657
3100,0.247253
3100,0.242879
3100,0.245805
3100,0.248813
3100,0.247101
3100,0.239698
3100,0.247944
3100,0.240650
3100,0.252981
3100,0.258869
3100,0.231051
3100,0.250304
3100,0.237658
3100,0.230849
3100,0.241699
3100,0.247057
3100,0.244377
3100,0.250874
3100,0.235921
3100,0.240470
3100,0.247048
3100,0.240194
3100,0.242388
3100,0.248978
3100,0.249833
3100,0.262297

3200,0.271315
3200,0.253969
3200,0.295062
3200,0.260852
3200,0.272811
3200,0.271696
3200,0.259645
3200,0.268690
3200,0.266884
3200,0.273074
3200,0.271213
3200,0.271605
3200,0.282937
3200,0.258741
3200,0.262375
3200,0.264430
3200,0.272665
3200,0.270156
3200,0.257634
3200,0.258281
3200,0.256517
3200,0.265327
3200,0.259025
3200,0.265268
3200,0.269150
3200,0.255500
3200,0.272633
3200,0.274530
3200,0.263456
3200,0.262042
3200,0.262911
3200,0.265661
3200,0.261233
3200,0.291493
3200,0.258179
3200,0.266224
3200,0.262098
3200,0.254522
3200,0.272841
3200,0.254658
3200,0.274777
3200,0.262983
3200,0.248140
3200,0.254327
3200,0.257509
3200,0.265001
3200,0.260257
3200,0.273602
3200,0.267878
3200,0.264802

3300,0.285107
3300,0.287765
3300,0.287330
3300,0.283382
3300,0.279872
3300,0.287075
3300,0.276650
3300,0.276660
3300,0.275252
3300,0.330502
3300,0.284551
3300,0.275793
3300,0.286624
3300,0.278155
3300,0.282368
3300,0.270876
3300,0.274307
3300,0.283832
3300,0.280625
3300,0.280857
3300,0.280264
3300,0.281875
3300,0.281815
3300,0.287567
3300,0.278209
3300,0.281793
3300,0.282369
3300,0.279174
3300,0.278098
3300,0.275653
3300,0.285139
3300,0.288166
3300,0.285363
3300,0.287697
3300,0.298961
3300,0.281286
3300,0.275248
3300,0.296076
3300,0.281278
3300,0.292730
3300,0.284143
3300,0.280804
3300,0.292881
3300,0.278328
3300,0.281409
3300,0.278349
3300,0.281097
3300,0.285395
3300,0.273980
3300,0.284289

3400,0.301886
3400,0.298365
3400,0.309994
3400,0.299394
3400,0.299258
3400,0.304901
3400,0.283587
3400,0.298475
3400,0.309190
3400,0.307440
3400,0.311154
3400,0.299884
3400,0.298694
3400,0.311251
3400,0.296596
3400,0.304449
3400,0.295147
3400,0.298201
3400,0.302706
3400,0.306130
3400,0.334206
3400,0.306473
3400,0.307510
3400,0.292625
3400,0.311826
3400,0.307977
3400,0.307314
3400,0.310049
3400,0.326397
3400,0.296753
3400,0.314291
3400,0.302395
3400,0.292869
3400,0.301337
3400,0.293282
3400,0.296247
3400,0.296263
3400,0.304018
3400,0.295056
3400,0.308120
3400,0.302523
3400,0.308100
3400,0.303466
3400,0.299245
3400,0.292460
3400,0.310679
3400,0.315064
3400,0.310825
3400,0.297810
3400,0.293887

3500,0.316818
3500,0.312895
3500,0.349912
3500,0.318736
3500,0.317744
3500,0.314116
3500,0.312309
3500,0.307878
3500,0.333323
3500,0.323604
3500,0.324325
3500,0.316581
3500,0.342168
3500,0.319444
3500,0.328593
3500,0.315353
3500,0.341316
3500,0.324404
3500,0.331356
3500,0.313448
3500,0.337060
3500,0.329929
3500,0.310844
3500,0.316173
3500,0.323387
3500,0.308305
3500,0.331049
3500,0.327950
3500,0.325312
3500,0.313337
3500,0.326008
3500,0.314622
3500,0.330082
3500,0.308211
3500,0.318485
3500,0.316842
3500,0.319808
3500,0.323627
