Thread,Average,Min,Max,Range,Variance
400,0.386090,0.341105,0.426784,0.085679,0.149497
401,0.379418,0.321339,0.438761,0.117422,0.144350
402,0.391384,0.326263,0.463439,0.137176,0.153871
403,0.395844,0.356729,0.436490,0.079761,0.157056
404,0.393975,0.348290,0.436469,0.088179,0.155656
405,0.380756,0.331431,0.429162,0.097731,0.145398
406,0.382560,0.339124,0.428686,0.089562,0.146854
407,0.379062,0.334979,0.422835,0.087856,0.144095
408,0.384540,0.341318,0.432092,0.090774,0.148368
409,0.382580,0.339845,0.436245,0.096400,0.146808
410,0.380114,0.325082,0.441716,0.116634,0.145027
411,0.381473,0.343838,0.447847,0.104009,0.145955
412,0.388619,0.349687,0.441028,0.091341,0.151439
413,0.386118,0.349703,0.438513,0.088810,0.149477
414,0.388596,0.348698,0.433199,0.084501,0.151403
415,0.381801,0.335523,0.439334,0.103811,0.146173
416,0.381376,0.338909,0.430464,0.091555,0.145956
417,0.382228,0.341612,0.421081,0.079469,0.146507
418,0.385791,0.336060,0.421839,0.085779,0.149174
419,0.381113,0.333715,0.458700,0.124985,0.145706
420,0.380496,0.343963,0.430960,0.086997,0.145157
421,0.383295,0.349437,0.426168,0.076731,0.147231
422,0.386332,0.344192,0.433995,0.089803,0.149717
423,0.380305,0.339800,0.429675,0.089875,0.145067
424,0.378224,0.340148,0.445119,0.104971,0.143498
425,0.390380,0.344250,0.430815,0.086565,0.152883
426,0.385875,0.338534,0.437043,0.098509,0.149331
427,0.390948,0.352801,0.432714,0.079913,0.153196
428,0.396731,0.348242,0.450676,0.102434,0.157951
429,0.388082,0.343676,0.424760,0.081084,0.151020
430,0.383610,0.334388,0.439083,0.104695,0.147609
431,0.392966,0.348386,0.433412,0.085026,0.154859
432,0.384203,0.334180,0.428434,0.094254,0.148068
433,0.404017,0.359710,0.466213,0.106503,0.163897
434,0.406954,0.358839,0.471912,0.113073,0.166222
435,0.395945,0.359308,0.435357,0.076049,0.157091
436,0.387773,0.342873,0.449404,0.106531,0.150925
437,0.403361,0.362865,0.458823,0.095958,0.163214
438,0.386832,0.350755,0.442136,0.091381,0.150054
439,0.391352,0.343533,0.465948,0.122415,0.153757
440,0.394490,0.352825,0.459721,0.106896,0.156066
441,0.392967,0.351422,0.445864,0.094442,0.154795
442,0.400539,0.363574,0.450275,0.086701,0.160992
443,0.386407,0.340106,0.427192,0.087086,0.149698
444,0.388085,0.345777,0.446205,0.100428,0.151015
445,0.393043,0.347118,0.448998,0.101880,0.155017
446,0.399631,0.361052,0.443199,0.082147,0.160041
447,0.399701,0.357852,0.446580,0.088728,0.160231
448,0.387911,0.332420,0.441623,0.109203,0.151012
449,0.390695,0.346740,0.434802,0.088062,0.153082
450,0.391741,0.355296,0.432714,0.077418,0.153764
451,0.395191,0.362107,0.470104,0.107997,0.156692
452,0.393074,0.363691,0.464940,0.101249,0.154993
453,0.392635,0.353794,0.432607,0.078813,0.154498
454,0.392963,0.342381,0.446866,0.104485,0.154793
455,0.397323,0.346991,0.461735,0.114744,0.158463
456,0.398965,0.349829,0.438153,0.088324,0.159610
457,0.389717,0.344997,0.454633,0.109636,0.152350
458,0.394433,0.355462,0.441165,0.085703,0.155987
459,0.396641,0.339349,0.438442,0.099093,0.157716
460,0.396205,0.350000,0.433567,0.083567,0.157361
461,0.393388,0.357135,0.440483,0.083348,0.155130
462,0.392389,0.337616,0.461347,0.123731,0.154597
463,0.394857,0.349061,0.472777,0.123716,0.156538
464,0.394605,0.353007,0.453034,0.100027,0.156106
465,0.395329,0.351003,0.489113,0.138110,0.156908
